image,folder_label,prediction,axles,is_correct
benchmark_vlm/master/Class 1 - Motorcycles/1682252179338_jpg.rf.4328b0fa5d4ae866c0589d43030392cd.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179345_jpg.rf.200652e27617abb179d9b868282fcde9.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179373_jpg.rf.e95563cc6cd37ce54b537ac05077d34a.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179381_jpg.rf.0942c962b97e20644f4e4db9d5b499ea.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179389_jpg.rf.c33e4042a4a6986f86ace094e2037637.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179407_jpg.rf.909d7917153420c004ce9a55b5e409d6.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179414_jpg.rf.fcd4a6483c7596c5074fae4261471ffb.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179441_jpg.rf.9bfb3bab71d917a6908bc33b4078e3c1.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179447_jpg.rf.3d526a3bb5cf763c89526fad1f11d872.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179450_jpg.rf.174c4265f276794273153f6361431ca9.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179457_jpg.rf.a00be1125b82cd73368d915235ec0756.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179467_jpg.rf.b0e132d0ef55b2f652a05f236dc1786a.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179487_jpg.rf.3b13922d0f491b8c59309258372ce976.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179508_jpg.rf.eaf12740e97997bbff2393d370fd6bed.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179511_jpg.rf.0b0bd9dc891c1586ca84ec8120ce2718.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179521_jpg.rf.43ec814b014321b56227f46b8abf5f4a.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179525_jpg.rf.e4cb5d161d20d39b0897730cab2a2ded.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179541_jpg.rf.58cc12db9b7f9f2ba5e357e3eb9db36d.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179547_jpg.rf.7f73f6fd1caa7b408d4b246e0c5176a7.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179550_jpg.rf.45cd01cdb097d34020793febd8897563.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179554_jpg.rf.78e4b7f4b458dcf8b7b1c16668a40c23.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179576_jpg.rf.ccf43222bf8dfbb56e592c5087a1d588.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179579_jpg.rf.dcf750994b5779fc54255c5b93041c95.jpg,Class 1 - Motorcycles,cyclist,,False
benchmark_vlm/master/Class 1 - Motorcycles/1682252179586_jpg.rf.4d4b2681cc17853a7e511b37f3dfea35.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179598_jpg.rf.50c1ba591ed1bf856e3f0c19e64c06ed.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179618_jpg.rf.29086572ecdaa78d40b9440f7b924e3b.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179621_jpg.rf.b33ecc46fa0c34921a5aba5e52837fb1.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179627_jpg.rf.c35bae6c5bcb4ea298e36a7b307f04da.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179635_jpg.rf.d06eaaedf8d9389ac83908b1c73bfc33.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179639_jpg.rf.8aedaef6b7baa7207545790d5f411d81.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179642_jpg.rf.a4079a8d40e4e0f8ee02177d4aa28aa4.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179645_jpg.rf.1f0c224c868cd43b1b20266dfb70e08c.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179649_jpg.rf.9243ee4b0f28015468ceffcc828f85f8.jpg,Class 1 - Motorcycles,moped,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179658_jpg.rf.71acd6dc459951de8e5f64b0f9728c65.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179674_jpg.rf.8b97eb4a8e5baa94dbe46177bf0a866a.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179690_jpg.rf.79520e54fe78a0fe49e97fe897b49595.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179703_jpg.rf.aa3ccf1c62c0588c0e34bec0d4be5bea.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179715_jpg.rf.7e0eb64461f96d5da5b91c5863da058d.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179722_jpg.rf.4a53734cb76f544fe901c82301931c23.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179725_jpg.rf.35b0788320894fc8bc8e300b0b27bf33.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179728_jpg.rf.a75d86be9553a0c48b28446414a102f1.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179744_jpg.rf.eed56fae26fcf2e8aea51aa9a93557fe.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/1682252179750_jpg.rf.684f1987df9bb30ff35d617d8aea9c06.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/16_jpg.rf.dc636929e20434e1a03373e6792dfe12.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/21_jpg.rf.f1132b74971086943437f85ee950740d.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/31_jpg.rf.b2033dcdbcf6d4e0317c95c33e2ca7cb.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/36_jpg.rf.232df9912245439dab54a133b4849379.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/43_jpg.rf.4448423b643ba00e326775cb3d4a117c.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/45_jpg.rf.39c3656d8d82501e9624f0c5ae74da87.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/478_jpg.rf.68bfa1bbb2db1d3d525962ba389d12e2.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/483_jpg.rf.5c0c0bc349e70a2dbff2625f12a6add8.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/484_jpg.rf.ae189f9939446f0d7aa3a86bdde1bc27.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/510_jpg.rf.4f65f0f2fe8f7936ed539525435d71ba.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/513_jpg.rf.a42f93ace9dc208b8d1750a93cf36d89.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/51_jpg.rf.a9e9be22e3277faba7648002f6554b45.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/52_jpg.rf.a9fed43d5b3b270d53cc07e91e39b2a0.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/71_jpg.rf.2b670b586669b3a96883aa672c9ef4ba.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/793_jpg.rf.7f59c7a23b277d983b32b66162042263.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/81_jpg.rf.a853477545ffb820cb1358973f9c3c5d.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/83_jpg.rf.c5cdde290b755cb08438967ae5e2f048.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/BikesHelmets100_png_jpg.rf.a957f2a54e0655e071aed612be08e520.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/BikesHelmets28_png_jpg.rf.5ad27794b1c4b8cd78ca112fdf9bef15.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/BikesHelmets296_png_jpg.rf.dcc5f5e0c3eb948de3173593091fe519.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/BikesHelmets77_png_jpg.rf.7167ed603b3f19d00639452b102b5f8c.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/Motor-108-_jpg.rf.2457927c11f6c0bb2ff992a9b02b8678.jpg,Class 1 - Motorcycles,moped,,True
benchmark_vlm/master/Class 1 - Motorcycles/Xe-may-11_jpg.rf.da053511bdfab41eecd6ca77b2c43b2a.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/Xe-may-17_jpg.rf.ddca5f27e3a20e08b583905b0b832da2.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/Xe-may-19_jpg.rf.2411b3dc43fe96330689598f44b7d7a2.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/Xe-may-22_jpg.rf.9327875d49287d5f2749ed6ff379df9e.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/Xe-may-25_jpg.rf.fa3a722da3dfebb6ef61a3e7013b77c0.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/Xe-may-26_jpg.rf.d743448082fc03dbe342eaa126de6653.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/Xe-may-42_jpg.rf.399c5c6802af70e596294adab72d244f.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/Xe-may-43_jpg.rf.57106c9aed583185fd90b89f9792f74a.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/XeDap-49-_jpg.rf.72f24f7d7b658a82c4d736af2d08b011.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/XeDap-66-_jpg.rf.acd35e38e0867510be35c8212bfd4f5f.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/afas_PNG_jpg.rf.1f7ce26da02c543de1564742f9c96f14.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/asd_PNG_jpg.rf.0b7a70b4d0afa59f54a8bea9698a6f04.jpg,Class 1 - Motorcycles,scooter,,True
benchmark_vlm/master/Class 1 - Motorcycles/asfdasd_PNG_jpg.rf.8170dfeac0f9097ccbceed543601a0db.jpg,Class 1 - Motorcycles,motorcycle,,True
benchmark_vlm/master/Class 1 - Motorcycles/xe-may-1_jpg.rf.6deed9bbb4a15c2ed4cd090e3dd2b526.jpg,Class 1 - Motorcycles,motorcycle,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000274_jpg.rf.380b69b7daab8ad4d21c0ec523496b5b.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000275_jpg.rf.a69f64163bfcf3c9c5800e2beb1c4a59.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000276_jpg.rf.f074c39df669b677f8b769c77b8d8686.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000297_jpg.rf.073dd57124d3b2148ffd420894a5fbbe.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000311_jpg.rf.482d3aec6d365778fe2f3cc76532bf8b.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000312_jpg.rf.772c9f1560affd94e6ed54c679c8aaa1.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000313_jpg.rf.bfefae59121962869cd3137366318f8a.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000315_jpg.rf.e3cc9dd0a87e734a59c383740a83fe4a.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000316_jpg.rf.20208fa4343009b07ce9acdf4b748663.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000335_jpg.rf.9aed5f25120312015e7a5e59ce4687dc.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000336_jpg.rf.30a1bde857d453c246cdc78947b141e6.jpg","Class 2 - Car, SUV, Station Wagons",model,,False
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000339_jpg.rf.e646ef771120c924d36a8679841e0105.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000361_jpg.rf.a45ad39d51469c5029aa388974723dab.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000444_jpg.rf.38d82cf4f4b90199bbc0200572228790.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000445_jpg.rf.dcb61529b6d562ddbe65175150fab2ed.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000461_jpg.rf.c966f286c43a08ce5c12a5d4f96226c9.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000464_jpg.rf.a70fa287307bfc1f4aa43c5790364771.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000466_jpg.rf.4faba6650f26af0ceb1a8a65d61b0f20.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000467_jpg.rf.62a43c5f865372bd2a234ea89cd08671.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000490_jpg.rf.3742fd42001335976da623c8c99124aa.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000505_jpg.rf.ba14315507c803b2c929927c64ea8730.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000506_jpg.rf.f76b609aa605817a724f10717f26c389.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000507_jpg.rf.f3919abc57dfcffa7f9fc7875a2c8bef.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000529_jpg.rf.348ce7eab88459b14750fd5a34013957.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000530_jpg.rf.13ebbd9621cf225e0eb89c7072581d61.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000531_jpg.rf.c845362019c6333456da0d5068d4d63d.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000550_jpg.rf.a7174683bd0bf3d0cb44ffb579acfce1.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000561_jpg.rf.3e8bc6429181e5991d0d43038c614064.jpg","Class 2 - Car, SUV, Station Wagons",sedan,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000562_jpg.rf.c6bd164b70969c604d70ea0232aa2e7a.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000565_jpg.rf.ead645c626a9fabe56fc0aee6001328a.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/000566_jpg.rf.0ea256010bb12f78659a944bad45e902.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002387_jpg.rf.a2dca53ee5894469452990d1a3622245.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002389_jpg.rf.b33ae7994bf1e2d694e53e9f77866a44.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002398_jpg.rf.9e92ffdfbf93f1c430985400c273dac8.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002401_jpg.rf.3bf610d60cd25f158de9504404607abe.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002402_jpg.rf.14c365417fae2a0c8dd178c4b705407f.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002404_jpg.rf.62500dbfbe85d7c2557ce73ef92b8dae.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002405_jpg.rf.ab836176d88b67f65fd128ee4cdadbbe.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002407_jpg.rf.4df9b4384fa45daedb6b0af435b67e1b.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002408_jpg.rf.df07ddd51066428d8d92d320bd3f8797.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002410_jpg.rf.d5af64955a1f9cf8367a2678b2c1634b.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002412_jpg.rf.3b14261d43f2355e23c1c26aca96eb63.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002413_jpg.rf.8566d339710de668f1b1db75eb43abad.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002416_jpg.rf.ac7cbe704a734b5e175fa457870b88db.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002417_jpg.rf.7ee73f3a4a1bdad66d3580a1a390ec0d.jpg","Class 2 - Car, SUV, Station Wagons",sedan,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002421_jpg.rf.c4e565d32d1ab44cd793d33ab910b114.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002423_jpg.rf.eaf9c79bb858acebe879a17295e860a0.jpg","Class 2 - Car, SUV, Station Wagons",model,,False
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002424_jpg.rf.2282a9b269a07b90d597a1aaec4bed51.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002600_jpg.rf.78e65458da0ad87629538ae0a2a7c55f.jpg","Class 2 - Car, SUV, Station Wagons",suv,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002953_jpg.rf.c7c3dc7024decb89c16cdd5d8cbaff73.jpg","Class 2 - Car, SUV, Station Wagons",car,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002956_jpg.rf.067052d6305673e9db2bee0ed19b79d4.jpg","Class 2 - Car, SUV, Station Wagons",suv,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002957_jpg.rf.5f9173e8a16a1305ce9bb409a6fa2b74.jpg","Class 2 - Car, SUV, Station Wagons",suv,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002958_jpg.rf.91679d26ee8c8bf1b4b70bdd3f4d75dd.jpg","Class 2 - Car, SUV, Station Wagons",suv,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002960_jpg.rf.e08c581f3ac12f0a9ea2450e3cf663f9.jpg","Class 2 - Car, SUV, Station Wagons",suv,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002973_jpg.rf.aad593878f0f02b0249d2ab3ca0b89f1.jpg","Class 2 - Car, SUV, Station Wagons",suv,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/002997_jpg.rf.9a45e193d5cc75f998ca75ce869b9456.jpg","Class 2 - Car, SUV, Station Wagons",suv,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/003018_jpg.rf.2ec9b910f09f7dfa78938d1f90167486.jpg","Class 2 - Car, SUV, Station Wagons",suv,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/003021_jpg.rf.504ea4a3e9cd2710266c07dc7ee74f9c.jpg","Class 2 - Car, SUV, Station Wagons",suv,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/003025_jpg.rf.f2ab22145daa945b78e2d59a7e42f91a.jpg","Class 2 - Car, SUV, Station Wagons",suv,,True
"benchmark_vlm/master/Class 2 - Car, SUV, Station Wagons/003839_jpg.rf.70def134a0b36966906f884327b04fca.jpg","Class 2 - Car, SUV, Station Wagons",suv,,True
